"filename", "language", "Markdown", "TOML", "JSON", "YAML", "JSON with Comments", "Rust", "TypeScript", "HTML", "JavaScript JSX", "Svelte", "comment", "blank", "total"
"d:\root\dev\js\volunteer-hub\.github\workflows\cargo-build.yml", "YAML", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 9, 39
"d:\root\dev\js\volunteer-hub\.github\workflows\cargo-ci.yml", "YAML", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 8, 39
"d:\root\dev\js\volunteer-hub\.github\workflows\cargo-dependencies-check.yml", "YAML", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 3, 15, 70
"d:\root\dev\js\volunteer-hub\.github\workflows\cargo-format-and-lint.yml", "YAML", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 14, 61
"d:\root\dev\js\volunteer-hub\.github\workflows\cargo-test.yml", "YAML", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 10, 43
"d:\root\dev\js\volunteer-hub\.github\workflows\sveltekit-minimal-ci.yml", "YAML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 5, 20
"d:\root\dev\js\volunteer-hub\.github\workflows\sveltekit-minimal-format-and-lint.yml", "YAML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 12, 50
"d:\root\dev\js\volunteer-hub\README.md", "Markdown", 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 235
"d:\root\dev\js\volunteer-hub\backend\.cargo\config.toml", "TOML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\root\dev\js\volunteer-hub\backend\.clippy.toml", "TOML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 71, 2, 82
"d:\root\dev\js\volunteer-hub\backend\.rustfmt.toml", "TOML", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 47, 2, 80
"d:\root\dev\js\volunteer-hub\backend\Cargo.lock", "TOML", 0, 1521, 0, 0, 0, 0, 0, 0, 0, 0, 2, 176, 1699
