Date : 2025-12-02 22:13:04
Directory : d:\root\dev\js\volunteer-hub
Total : 110 files,  9820 codes, 228 comments, 1647 blanks, all 11695 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Rust               |         69 |      6,475 |         56 |      1,247 |      7,778 |
| TOML               |         12 |      1,755 |        133 |        225 |      2,113 |
| JSON               |          4 |        893 |          0 |          5 |        898 |
| YAML               |          7 |        242 |          7 |         73 |        322 |
| Markdown           |          2 |        235 |          0 |         42 |        277 |
| TypeScript         |          7 |        107 |         12 |         24 |        143 |
| Svelte             |          6 |         79 |          0 |         25 |        104 |
| JSON with Comments |          1 |         14 |         11 |          1 |         26 |
| HTML               |          1 |         11 |          0 |          1 |         12 |
| JavaScript JSX     |          1 |          9 |          9 |          4 |         22 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        110 |      9,820 |        228 |      1,647 |     11,695 |
| . (Files)                                                                                          |          3 |        247 |          0 |         30 |        277 |
| .github                                                                                            |          7 |        242 |          7 |         73 |        322 |
| .github\workflows                                                                                  |          7 |        242 |          7 |         73 |        322 |
| backend                                                                                            |         81 |      8,230 |        189 |      1,472 |      9,891 |
| backend (Files)                                                                                    |          4 |      1,601 |        127 |        188 |      1,916 |
| backend\.cargo                                                                                     |          1 |          2 |          0 |          1 |          3 |
| backend\aliases                                                                                    |          2 |         40 |          1 |          9 |         50 |
| backend\aliases (Files)                                                                            |          1 |         14 |          0 |          3 |         17 |
| backend\aliases\src                                                                                |          1 |         26 |          1 |          6 |         33 |
| backend\axiom                                                                                      |          2 |        226 |          5 |         40 |        271 |
| backend\axiom (Files)                                                                              |          1 |         17 |          0 |          4 |         21 |
| backend\axiom-derive                                                                               |          4 |        410 |         28 |         84 |        522 |
| backend\axiom-derive (Files)                                                                       |          1 |         18 |          0 |          5 |         23 |
| backend\axiom-derive\src                                                                           |          3 |        392 |         28 |         79 |        499 |
| backend\axiom\src                                                                                  |          1 |        209 |          5 |         36 |        250 |
| backend\bindings                                                                                   |          3 |        197 |          8 |         36 |        241 |
| backend\bindings\wasm-bindings                                                                     |          3 |        197 |          8 |         36 |        241 |
| backend\bindings\wasm-bindings (Files)                                                             |          1 |         35 |          1 |          8 |         44 |
| backend\bindings\wasm-bindings\src                                                                 |          2 |        162 |          7 |         28 |        197 |
| backend\core                                                                                       |         63 |      5,543 |         12 |      1,057 |      6,612 |
| backend\core\domain                                                                                |          2 |        221 |         10 |         39 |        270 |
| backend\core\domain (Files)                                                                        |          1 |         16 |          0 |          4 |         20 |
| backend\core\domain\src                                                                            |          1 |        205 |         10 |         35 |        250 |
| backend\core\use-cases                                                                             |         61 |      5,322 |          2 |      1,018 |      6,342 |
| backend\core\use-cases (Files)                                                                     |          1 |         26 |          0 |          6 |         32 |
| backend\core\use-cases\src                                                                         |         60 |      5,296 |          2 |      1,012 |      6,310 |
| backend\core\use-cases\src (Files)                                                                 |          2 |        356 |          0 |         81 |        437 |
| backend\core\use-cases\src\boundaries                                                              |         29 |      3,106 |          2 |        528 |      3,636 |
| backend\core\use-cases\src\interactors                                                             |         29 |      1,834 |          0 |        403 |      2,237 |
| backend\infrastructures                                                                            |          2 |        211 |          8 |         57 |        276 |
| backend\infrastructures (Files)                                                                    |          1 |         26 |          5 |          6 |         37 |
| backend\infrastructures\src                                                                        |          1 |        185 |          3 |         51 |        239 |
| frontend                                                                                           |         19 |      1,101 |         32 |         72 |      1,205 |
| frontend\sveltekit-minimal                                                                         |         19 |      1,101 |         32 |         72 |      1,205 |
| frontend\sveltekit-minimal (Files)                                                                 |          6 |        939 |         21 |         24 |        984 |
| frontend\sveltekit-minimal\src                                                                     |         13 |        162 |         11 |         48 |        221 |
| frontend\sveltekit-minimal\src (Files)                                                             |          2 |         16 |          7 |          3 |         26 |
| frontend\sveltekit-minimal\src\lib                                                                 |          1 |          9 |          1 |          3 |         13 |
| frontend\sveltekit-minimal\src\lib\server                                                          |          1 |          9 |          1 |          3 |         13 |
| frontend\sveltekit-minimal\src\routes                                                              |         10 |        137 |          3 |         42 |        182 |
| frontend\sveltekit-minimal\src\routes (Files)                                                      |          2 |         10 |          0 |          4 |         14 |
| frontend\sveltekit-minimal\src\routes\(authed)                                                     |          3 |         15 |          0 |          6 |         21 |
| frontend\sveltekit-minimal\src\routes\(authed) (Files)                                             |          2 |         14 |          0 |          5 |         19 |
| frontend\sveltekit-minimal\src\routes\(authed)\dashboard                                           |          1 |          1 |          0 |          1 |          2 |
| frontend\sveltekit-minimal\src\routes\login                                                        |          2 |         44 |          3 |         14 |         61 |
| frontend\sveltekit-minimal\src\routes\logout                                                       |          1 |          9 |          0 |          2 |         11 |
| frontend\sveltekit-minimal\src\routes\register                                                     |          2 |         59 |          0 |         16 |         75 |
